symbol,name,status
SWIGGY,Swiggy Limited,Old
MARUTI,Maruti Suzuki India Limited,Old
MRF,MRF Limited,Old
ABCAPITAL,Aditya Birla Capital Limited,Old
HSCL,Himadri Speciality Chemical Limited,Old
HAL,Hindustan Aeronautics Limited,Old
WENDT,Wendt (India) Limited,Old
BARBEQUE,Barbeque-Nation Hospitality Limited,Old
HYUNDAI,Hyundai Motor India Limited,Old
360ONE,360 One Wam Limited,Old
DRONE,Drone Destination Limited,Old
JETFREIGHT,Jet Freight Logistics Limited,Old
PAKKA,Pakka Limited,Old
CGPOWER,CG Power and Industrial Solutions Limited,Old
FROG,Frog Cellsat Limited,Old
BHAGYANGR,Bhagyanagar India Limited,Old
XELPMOC,Xelpmoc Design and Tech Limited,Old
PFIZER,Pfizer Limited,Old
BRIGHT,Bright Solar Limited,Old
AETHER,Aether Industries Limited,Old
VIPIND,V.I.P. Industries Limited,Old
